id,synagogue_id,synagogue_name,street_address,city,state,zip_code,start_year,end_year,source,latitude,longitude,formatted_address,geocode_status
38751029-52ed-4cac-a37c-efc6e154639c,fd9a844e-f9c6-4428-b3b8-0d566550b765,"Or Ami, Ivy Ridge Jewish Community Center",Ridge Pike,Philadelphia,PA,19444.0,1964.0,2010.0,other_addresses,40.0876326,-75.2620009,"Ridge Pike, Whitemarsh Township, PA, USA",OK
01d759b5-693f-4346-a907-fd8803802b5a,9b90fc38-391c-47f5-a66e-c80539f7c568,Or Hadash: A Reconstructionist Congregation,Church Road and Greenwood Avenue,Wyncote,PA,19095,1983.0,1994.0,other_addresses,40.0873206,-75.1515137,"Church Rd & Greenwood Ave, Wyncote, PA 19095, USA",OK
8028418d-1b99-4b5e-b01c-fe7df2726c10,9b90fc38-391c-47f5-a66e-c80539f7c568,Or Hadash: A Reconstructionist Congregation,190 Camp Hill Road,Fort Washington,PA,19034,1995.0,,other_addresses,40.1275716,-75.1929597,"190 Camp Hill Rd, Fort Washington, PA 19034, USA",OK
2370513f-6747-4598-b676-df981bae3545,324ca157-baae-4f02-8b96-c515fb129245,Congregation Or Shalom,PO Box 476,Wayne,PA,19087,1975.0,1981.0,other_addresses,40.0421253,-75.3965949,"Wayne, PA 19087, USA",OK
96010da6-acbc-400c-9699-e5bd634bcf74,324ca157-baae-4f02-8b96-c515fb129245,Congregation Or Shalom,139 East Lancaster Avenue,Wayne,PA,19087,1982.0,1984.0,other_addresses,40.0444836,-75.386318,"139 E Lancaster Ave, Wayne, PA 19087, USA",OK
10602355-cfa0-4e2a-80af-b7ccd51550e5,324ca157-baae-4f02-8b96-c515fb129245,Congregation Or Shalom,252 Darby Road,Paoli,PA,19301,1985.0,,other_addresses,40.0351271,-75.4747174,"252 Darby Rd #835, Paoli, PA 19301, USA",OK
23027249-22e3-4407-8de2-8051721a4ffd,e99bff3b-90e7-48c4-a1a9-923f6c93d152,Or Yisrael,1444 Newtown Road,Yardley,PA,19067,1994.0,1996.0,other_addresses,40.245664,-74.8459972,"Yardley, PA 19067, USA",OK
0a779d64-4b64-4ff2-b9dd-61cf20539a24,87bc5edf-71e6-490e-bee5-c0a1602b55d1,Overbrook Park Synagogue,7401 Woodbine Avenue,Philadelphia,PA,19151,1949.0,,other_addresses,39.9763773,-75.2644762,"7401 Woodbine Ave, Philadelphia, PA 19151, USA",OK
a696cf9b-c12d-4bb4-8b8d-47f498a8300f,1bd4838b-8cef-4627-807e-f31392e70490,Overbrook Park Congregation,76th Street and Overbrook Avenue,Philadelphia,PA,19151,1952.0,1962.0,other_addresses,39.9780074,-75.27031029999999,"Overbrook Ave & N 76th St, Philadelphia, PA 19151, USA",OK
35a35552-0604-4bd9-8ae0-14fca75149e4,29a29be0-bd9b-4ebf-8681-96366a5b83ee,Congregation Beth T'fillah of Overbrook Park,7630 Woodbine Avenue,Philadelphia,PA,19151,1963.0,2006.0,other_addresses,39.9738575,-75.26823209999999,"7630 Woodbine Ave, Philadelphia, PA 19151, USA",OK
2ef092c4-153e-4e49-841d-cdff16a0e722,a3839c30-faf3-4c65-9ed1-4ea330eb2f08,Oxford Circle Jewish Community Center,6645 Castor Avenue,Philadelphia,PA,19149,1951.0,1952.0,other_addresses,40.0427808,-75.0738336,"6645 Castor Ave, Philadelphia, PA 19149, USA",OK
387ac425-351a-4f57-bdd9-5439cdcbcab1,a3839c30-faf3-4c65-9ed1-4ea330eb2f08,Oxford Circle Jewish Community Center,Algon and Unruh Avenues,Philadelphia,PA,19111,1953.0,1982.0,other_addresses,40.0471356,-75.0809676,"Algon Ave & Unruh Ave, Philadelphia, PA 19111, USA",OK
e6e97258-43ba-4553-a740-058d15eb9e69,a3839c30-faf3-4c65-9ed1-4ea330eb2f08,Oxford Circle Jewish Community Center,1009 Unruh Avenue,Philadelphia,PA,19111,1983.0,2003.0,other_addresses,40.04752999999999,-75.08112729999999,"1009 Unruh Ave, Philadelphia, PA 19111, USA",OK
5611e8ba-6f1a-4bfe-9244-e3c4e3e9e109,cf82caaa-0fb6-464a-97bd-86621c6d3946,Pennypack Park Jewish Community Center,2605 Welsh Road,Philadelphia,PA,19114,1963.0,1997.0,other_addresses,40.0681695,-75.0292159,"2605 Welsh Rd, Philadelphia, PA 19114, USA",OK
2e258dce-1950-4db2-8276-6461ac4c3baa,a1d980ff-f7aa-4d9e-b4e2-f7d6666885f2,P’nai Or Philadelphia Havurah ,"Summit, Greene and Westview Streets",Philadelphia,PA,19119,1992.0,2010.0,other_addresses,40.0457487,-75.1949022,"Greene St & Westview Ave, Philadelphia, PA 19119, USA",OK
0fb1e251-62ec-444a-887c-a0070b87f576,1c4e2a3c-a755-463f-9144-d9259af317ec,P’nai Or Religious Fellowship of Philadelphia,6757 Greene Street,Philadelphia,PA,19119,2017.0,,other_addresses,40.0459051,-75.1943448,"6757 Greene St, Philadelphia, PA 19119, USA",OK
140bdf15-4456-47e4-ae85-499300915903,3cac6c4f-2485-43d6-b947-e37b23d2233e,Raim Ahuvim,5854 Drexel Road,Philadelphia,PA,19131,1961.0,,other_addresses,39.989188,-75.24231,"5854 Drexel Rd, Philadelphia, PA 19131, USA",OK
90be3942-380a-4fb5-abd1-73bb1b46a0d8,67d88c09-f798-4a29-a528-66fabfd3964c,Rhawnhurst Jewish Center,Hoffnagle and Summerdale Streets,Philadelphia,PA,19152,1961.0,1997.0,other_addresses,40.0685626,-75.0580458,"Hoffnagle St & Summerdale Ave, Philadelphia, PA 19152, USA",OK
98b2309a-2515-403a-8c77-2ab721c15260,87aeed39-a5c4-4d9a-abd5-c4331e54133d,Adath Tikvah-Montefiore,1630 Hoffnagle Street,Philadelphia,PA,19152,1998.0,2002.0,other_addresses,40.0687411,-75.0588592,"1630 Hoffnagle St, Philadelphia, PA 19152, USA",OK
8a0906f4-0b08-42f4-a5ea-ca24dcf19b46,2aebda65-2a1b-406c-ac91-21b212a40ea8,Congregation Rodeph Shalom,615 North Broad Street,Philadelphia,PA,19123,1936.0,,other_addresses,39.963801,-75.16047669999999,"615 N Broad St, Philadelphia, PA 19123, USA",OK
a6eacea4-d597-4950-a7fe-c704bfccafa4,631cdd52-54e3-45f2-b3eb-c18c1f99e113,Temple Rodeph Zedek,Tenth and Ruscomb Streets,Philadelphia,PA,19141,1955.0,1961.0,other_addresses,40.028301,-75.14003799999999,"10th St & Ruscomb St, Philadelphia, PA 19141, USA",OK
e2c21c6f-c931-42a3-83c9-042b3453d29c,c3115eeb-dbab-41aa-b23e-1ab51d52bc5b,Rothenberg Shul,1420 Walnut Street,Philadelphia,PA,19102,2010.0,,other_addresses,39.9485299,-75.1654459,"1420 Walnut St, Philadelphia, PA 19102, USA",OK
38a1ec08-ed08-4315-90c7-49c51a167017,55edb45c-b430-4950-ad3c-c8b9f90d78db,Shaari Eli,512 West Ritner Street,Philadelphia,PA,19148,1961.0,1963.0,other_addresses,39.9186746,-75.1563716,"512 W Ritner St, Philadelphia, PA 19148, USA",OK
c335a5fe-48b3-467d-ba5b-00c4bbbc4cd5,55edb45c-b430-4950-ad3c-c8b9f90d78db,Shaari Eli,Eighth and Porter Streets,Philadelphia,PA,19148,1964.0,1983.0,other_addresses,39.9181217,-75.160822,"S 8th St & W Porter St, Philadelphia, PA 19148, USA",OK
