synagogue_name,street_address,neighborhood,city,state,full_address,is_current,address_order
B'nai Israel,942 Ruscomb St,Logan,Philadelphia,PA,"942 Ruscomb St, Philadelphia, PA",True,0
B'nai Israel,1709 N. 22nd St,North Philly,Philadelphia,PA,"1709 N. 22nd St, Philadelphia, PA",True,0
B'nai Israel,SW corner Tulip & Auburn Sts,Port Richmond,Philadelphia,PA,"SW corner Tulip & Auburn Sts, Philadelphia, PA",True,0
B'nai Israel,1214 S. 3rd St,South Philly,Philadelphia,PA,"1214 S. 3rd St, Philadelphia, PA",True,0
B'nai Israel,"NE Corner, 3rd & Manton Sts",South Philly,Philadelphia,PA,"NE Corner, 3rd & Manton Sts, Philadelphia, PA",True,0
B'nai Israel,922 S. 4th St,South Philly,Philadelphia,PA,"922 S. 4th St, Philadelphia, PA",True,0
B'nai Israel,4024 Lancaster Ave,West Philly,Philadelphia,PA,"4024 Lancaster Ave, Philadelphia, PA",True,0
B'nai Israel Anshe Polin,324 Fitzwater St,South Philly,Philadelphia,PA,"324 Fitzwater St, Philadelphia, PA",True,0
B'nai Israel of Olney,307 W. Tabor Rd,Olney,Philadelphia,PA,"307 W. Tabor Rd, Philadelphia, PA",True,0
"B'nai Israel. Also, Ahdus B'nai Israel",540 E. Erie Ave,North Philly,Philadelphia,PA,"540 E. Erie Ave, Philadelphia, PA",True,0
"B'nai Israel-Ohev Zedek. See, B'nai Halberstam",8201 Castor Ave,Northeast Philly,Philadelphia,PA,"8201 Castor Ave, Philadelphia, PA",True,0
B'nai Jacob,Starr & Manavon Sts,Phoenixville,Philadelphia,PA,"Starr & Manavon Sts, Philadelphia, PA",True,0
B'nai Jacob,1927-9 N. 31st St,Strawberry Mansion,Philadelphia,PA,"1927-9 N. 31st St, Philadelphia, PA",True,0
B'nai Jacob - Dirshu Tov,1147 Gilham St,Northeast Philly,Philadelphia,PA,"1147 Gilham St, Philadelphia, PA",True,0
B'nai Jacob Anshe Sfard,323 N. 2nd St,Northern Liberties,Philadelphia,PA,"323 N. 2nd St, Philadelphia, PA",True,0
"B'nai Jacob. Also, Kesher Israel",418 Lombard S,Old City,Philadelphia,PA,"418 Lombard S, Philadelphia, PA",True,0
"B'nai Jeshurun. Also, B'nai Jeshurun of Mount Airy","33rd & Parkway Sts., (between Diamond St & Susquehanna Ave)",Strawberry Mansion,Philadelphia,PA,"33rd & Parkway Sts., (between Diamond St & Susquehanna Ave), Philadelphia, PA",True,0
B'nai Joseph,525 Bainbridge St,South Philly,Philadelphia,PA,"525 Bainbridge St, Philadelphia, PA",True,0
B'nai Joshua,5343 Berks St,Wynnefield,Philadelphia,PA,"5343 Berks St, Philadelphia, PA",True,0
B'nai Menasha,722 N. 38th St,West Philly,Philadelphia,PA,"722 N. 38th St, Philadelphia, PA",True,0
"B'nai Menasha. Also, The White Shul",2339 N. 31st St (at Arizona St),Strawberry Mansion,Philadelphia,PA,"2339 N. 31st St (at Arizona St), Philadelphia, PA",True,0
B'nai Moishe,3836 N. 18th St,North Philly,Philadelphia,PA,"3836 N. 18th St, Philadelphia, PA",True,0
"B'nai Moishe Anshe Sefard. Also, B'nai Moshe - Poale Zedek",1711 S. 5th St (at Watkins),South Philly,Philadelphia,PA,"1711 S. 5th St (at Watkins), Philadelphia, PA",True,0
B'nai Moses Montefiore Anshe Polin,342 Queen St,South Philly,Philadelphia,PA,"342 Queen St, Philadelphia, PA",True,0
B'nai Moshe Gomel Chesed Shel Emes,314 Catherine St,South Philly,Philadelphia,PA,"314 Catherine St, Philadelphia, PA",True,0
"B'nai Nahum. Also, B'nai Nachman",2126 N. 16th St,North Philly,Philadelphia,PA,"2126 N. 16th St, Philadelphia, PA",True,0
B'nai Reuben Anshe Sephard [Chevra],615 S. 6th St (at Kater St),South Philly,Philadelphia,PA,"615 S. 6th St (at Kater St), Philadelphia, PA",True,0
B'nai Sholom,4858 N. 7th St,Logan,Philadelphia,PA,"4858 N. 7th St, Philadelphia, PA",True,0
B'nai Shram,521 Lombard St,Old City,Philadelphia,PA,"521 Lombard St, Philadelphia, PA",True,0
B'nai Torah,11082 Knights Rd,Northeast Philly,Philadelphia,PA,"11082 Knights Rd, Philadelphia, PA",True,0
B'nai Yehoshua,5343 Berks St,Wynnefield,Philadelphia,PA,"5343 Berks St, Philadelphia, PA",True,0
B'nai Yitzchok,243 E. Roosevelt Blvd,Feltonville,Philadelphia,PA,"243 E. Roosevelt Blvd, Philadelphia, PA",True,0
B'nai Zion,532 Pine St,Old City,Philadelphia,PA,"532 Pine St, Philadelphia, PA",True,0
B'nai Zwi,5821 Upland Way (at Wanamaker St),Wynnefield,Philadelphia,PA,"5821 Upland Way (at Wanamaker St), Philadelphia, PA",True,0
Boulevard Temple. Also Temple Beth Torah,Tyson & Brous Sts,Northeast Philly,Philadelphia,PA,"Tyson & Brous Sts, Philadelphia, PA",True,0
Bristol Jewish Center,216 Pond St,Bristol,Philadelphia,PA,"216 Pond St, Philadelphia, PA",True,0
Brith Achim,481 South Gulph Rd,King of,Philadelphia,PA,"481 South Gulph Rd, Philadelphia, PA",True,0
Brith Israel Congregation,524 W. Roosevelt Blvd,Feltonville,Philadelphia,PA,"524 W. Roosevelt Blvd, Philadelphia, PA",True,0
"Brith Sholem Synagogue of Paschall Ave. Also see, Brith Sholom Community Center",6842 Paschall Ave,SW Philly,Philadelphia,PA,"6842 Paschall Ave, Philadelphia, PA",True,0
Brith Sholom,571 N. 5th St,North Philly,Philadelphia,PA,"571 N. 5th St, Philadelphia, PA",True,0
Brith Sholom Chevra Kedusha.,604 Girard Ave,Marshall St,Philadelphia,PA,"604 Girard Ave, Philadelphia, PA",True,0
"Brith Sholom Community Center. Also see, Brith Sholem Synagogue of Paschall Ave.",63rd & Greenway Sts,SW Philly,Philadelphia,PA,"63rd & Greenway Sts, Philadelphia, PA",True,0
"Brith Sholom. See, Brith Sholom (@ N.5th)",201 Poplar St,Northern Liberties,Philadelphia,PA,"201 Poplar St, Philadelphia, PA",True,0
